text,label
Presiden resmikan proyek Ibu Kota Negara baru,real
BMKG umumkan cuaca cerah sepanjang minggu,real
Kemendikbud rilis kurikulum Merdeka Belajar,real
Kementerian Kesehatan luncurkan vaksinasi booster,real
UNESCO tetapkan Candi Borobudur sebagai warisan dunia,real
Pemerintah anggarkan dana pendidikan Rp600 triliun,real
Menhub umumkan penambahan jadwal mudik Lebaran,real
KAI gratiskan tiket untuk pelajar dan lansia,real
Menparekraf promosikan desa wisata di Sumatera Barat,real
Badan POM izinkan penggunaan obat baru kanker,real
Kementerian Kominfo tutup 2.000 situs judi online,real
"BI pertahankan suku bunga acuan di 5,75%",real
BPS catat inflasi Indonesia turun di bulan Mei,real
Menteri ESDM resmikan PLTS terapung terbesar di Asia,real
Rupiah menguat terhadap dolar AS di awal pekan,real
LIPI temukan varietas padi tahan banjir,real
ITB umumkan temuan teknologi baterai ramah lingkungan,real
Kemenhub luncurkan aplikasi pengecekan jadwal kapal,real
UI perkenalkan program beasiswa penuh untuk S1,real
Menlu Indonesia hadiri konferensi ASEAN di Laos,real
Pemerintah distribusikan bansos pangan tahap 3,real
Menparekraf umumkan festival budaya nasional di Bali,real
Pemprov DKI bangun taman kota seluas 10 hektar,real
Kemenkes umumkan penurunan angka stunting 2024,real
BPOM nyatakan vaksin COVID-19 aman untuk anak-anak,real
BNPB distribusikan bantuan untuk korban banjir,real
Menkominfo perkenalkan satelit internet nasional,real
PUPR targetkan pembangunan 10 bendungan tahun ini,real
Menko Marves umumkan kerja sama energi dengan Jepang,real
Kemenkeu naikkan subsidi energi untuk masyarakat,real
BRIN rilis riset terbaru tentang pertanian organik,real
Mendikbud sebut literasi siswa meningkat 10%,real
Pemerintah resmi luncurkan tol laut rute baru,real
Menhub: Tiket pesawat Lebaran tahun ini diturunkan,real
Presiden hadiri KTT G20 di Brasil,real
KAI tambah 15 KA tambahan rute padat,real
Komnas HAM adakan pelatihan toleransi untuk guru,real
Bank Indonesia uji coba QRIS antarnegara dengan Thailand,real
BPK audit dana desa secara digital,real
PLN umumkan tarif listrik stabil 3 bulan ke depan,real
Menteri PUPR tinjau proyek jembatan penghubung Kalimantan,real
BPOM luluskan 10 obat herbal berbasis riset,real
Presiden luncurkan Gerakan Nasional Digitalisasi UMKM,real
Kemenpora umumkan program pelatihan atlet muda,real
Kemenkes luncurkan layanan konsultasi kesehatan online,real
BPKH umumkan dana haji aman dan transparan,real
Kominfo blokir ratusan konten bermuatan SARA,real
Kemenhub bangun pelabuhan baru di Papua,real
Pemerintah longgarkan aturan ekspor CPO,real
Presiden: Investasi asing naik 15% tahun ini,real
Rokok herbal bisa menyembuhkan kanker dalam 3 hari,fake
Makan pisang 2 buah sehari bisa membuat tidak tertular COVID-19,fake
Alien mendarat di Gunung Merapi dan bertemu penduduk,fake
Minum air kelapa dapat menggantikan vaksinasi,fake
Gunung Semeru akan meletus besar pada tanggal 17 Agustus,fake
Manusia bisa hidup 1 bulan tanpa tidur dengan air doa,fake
Bumi akan gelap total selama 7 hari karena badai matahari,fake
Menteri Keuangan akan bagi-bagi uang Rp1 juta lewat WhatsApp,fake
Facebook akan ditutup mulai tahun depan,fake
NASA temukan kehidupan di Planet Mars berbentuk manusia,fake
Makan mie instan setiap hari bisa memperpanjang umur,fake
Pemerintah akan menghapus semua utang rakyat,fake
Matahari terbit dari barat tanda kiamat segera datang,fake
Elon Musk akan pindahkan kantor Tesla ke Bandung,fake
HP bisa meledak jika di-charge sambil teleponan,fake
Minum kopi 3 gelas sehari bisa menambah IQ,fake
Tidur di bawah bulan purnama bisa bikin awet muda,fake
WHO nyatakan cabai merah obat semua penyakit,fake
Nenek 120 tahun lahirkan anak kembar di Rusia,fake
Bayi lahir sudah bisa bicara dalam 2 bahasa,fake
Tidur 20 jam sehari bisa menyembuhkan diabetes,fake
Manusia bisa bernafas di dalam air jika sering latihan renang,fake
Hewan peliharaan bisa bicara jika sering diajak ngobrol,fake
Pemerintah bagi-bagi rumah gratis untuk semua warga,fake
Menara Eiffel akan dipindahkan ke Indonesia,fake
Langit Indonesia akan berubah warna jadi ungu tahun depan,fake
Makan durian bisa meningkatkan kekebalan 300%,fake
Internet Indonesia akan digratiskan seumur hidup,fake
Peneliti temukan bahwa alien tinggal di bawah laut,fake
Bermimpi tentang ular tandanya akan jadi kaya raya,fake
Tersenyum 100 kali sehari bikin wajah awet muda,fake
Minyak goreng bekas bisa digunakan sebagai bensin,fake
Nabi Khidir terlihat berjalan di Malioboro,fake
Pohon pisang bisa menghasilkan emas jika dipupuk khusus,fake
Minum air hujan tengah malam bikin tubuh kebal segala penyakit,fake
Bayi di India lahir dengan tiga kepala,fake
Garam dicampur kopi bisa jadi ramuan panjang umur,fake
Menteri akan naikkan gaji semua warga jadi Rp10 juta,fake
Bersin 7 kali bisa mereset otak manusia,fake
Minyak kayu putih terbukti menyembuhkan COVID-19 varian delta,fake
Cuci kaki dengan air teh bisa cegah stroke,fake
Laut Selatan akan kering selama 2 bulan karena perubahan cuaca,fake
Tidur telanjang di bawah sinar matahari bisa sembuhkan kanker kulit,fake
Mata ketiga manusia akan aktif saat tidur di hari Jumat,fake
Orang tua dilarang makan nasi malam hari menurut penelitian terbaru,fake
Kucing ternyata berasal dari planet lain,fake
Sinar bulan malam Jumat bikin umur panjang,fake
Air dari sumur tua bisa menyembuhkan segala penyakit,fake
Bumi datar mulai terbukti oleh ilmuwan rahasia,fake
